Rotation, Location, Gyro Rotation, Sensor Optical Flow, Battery Level, Yaw, Pitch, Roll, Vy, Vx, AccX, AccY
0, (0.184,0), 360, 100.0, 360.0000026666121, 0, 0, 0, 0.021, 1.05, 0, 0
0, (0.184,0), 360, 100.0, 359.99999008390563, 0, 0, 0, 0, 0, 0, 0
0, (0.184,0), 360, 100.0, 359.9999759176436, 0, 0, 0, 0, 0, 0, 0
0, (0.184,0), 360, 100.0, 359.9999613873839, 0, 0, 0, 0, 0, 0, 0
0, (0.184,0), 359.9999, 100.0, 359.9999430391846, 0, 0, 0, 0, 0, 0, 0
0, (0.184,0), 359.9999, 100.0, 359.99992823640935, 0, 0, 0, 0, 0, 0, 0
0, (0.184,0), 359.9999, 100.0, 359.9999157124979, 0, 0, 0, 0, 0, 0, 0
0, (0.184,0), 359.9999, 100.0, 359.999898831727, 0, 0, 0, 0, 0, 0, 0
0, (0.184,0), 359.9999, 100.0, 359.99988007663086, 0, 0, 0, 0, 0, 0, 0
0, (0.184,0), 359.9999, 100.0, 359.999862711993, 0, 0, 0, 0, 0, 0, 0
0, (0.184,0), 359.9999, 100.0, 359.99985086731783, 0, 0, 0, 0, 0, 0, 0
0, (0.184,0), 359.9998, 100.0, 359.9998329940132, 0, 0, 0, 0, 0, 0, 0
0, (0.184,0), 359.9998, 100.0, 359.99981677884097, 0, 0, 0, 0, 0, 0, 0
0, (0.184,0), 359.9998, 100.0, 359.99980475845376, 0, 0, 0, 0, 0, 0, 0
0, (0.184,0), 359.9998, 100.0, 359.99978884395364, 0, 0, 0, 0, 0, 0, 0
0, (0.184,0), 359.9998, 100.0, 359.9997671127556, 0, 0, 0, 0, 0, 0, 0
0, (0.184,0), 359.9998, 100.0, 359.999752864941, 0, 0, 0, 0, 0, 0, 0
Rotation, Location, Gyro Rotation, Sensor Optical Flow, Battery Level, Yaw, Pitch, Roll, Vy, Vx, AccX, AccY
0, (0.202,0), 360, 100.0, 359.99999730198647, 0, 0, 0, 0.052, 2.6, 0, 0
0, (0.22,0), 360, 100.0, 359.99998157424767, 0, 0, 0, 0, 0, 0, 0
0, (0.22,0), 360, 100.0, 359.9999688616275, 0, 0, 0, 0, 0, 0, 0
0, (0.22,0), 360, 100.0, 359.99995553703195, 0, 0, 0, 0, 0, 0, 0
0, (0.22,0), 359.9999, 100.0, 359.99993499318686, 0, 0, 0, 0, 0, 0, 0
0, (0.22,0), 359.9999, 100.0, 359.9999244177316, 0, 0, 0, 0, 0, 0, 0
0, (0.22,0), 359.9999, 100.0, 359.99990857015564, 0, 0, 0, 0, 0, 0, 0
0, (0.22,0), 359.9999, 100.0, 359.99989114779805, 0, 0, 0, 0, 0, 0, 0
0, (0.22,0), 359.9999, 100.0, 359.9998733442503, 0, 0, 0, 0, 0, 0, 0
