Rotation, Location, Gyro Rotation, Sensor Optical Flow, Battery Level, Yaw, Pitch, Roll, Vy, Vx, AccX, AccY
0, (0.21,0), 360, 100.0, 359.99999020107686, 0, 0, 0, 0.028, 1.4, 0, 0
0, (0.214,0), 360, 100.0, 359.99997764512875, 0, 0, 0, 0, 0, 0, 0
0, (0.214,0), 360, 100.0, 359.9999714703188, 0, 0, 0, 0, 0, 0, 0
0, (0.214,0), 360, 100.0, 359.99995363744176, 0, 0, 0, 0, 0, 0, 0
0, (0.214,0), 359.9999, 100.0, 359.9999404665739, 0, 0, 0, 0, 0, 0, 0
0, (0.214,0), 359.9999, 100.0, 359.9999249177471, 0, 0, 0, 0, 0, 0, 0
0, (0.214,0), 359.9999, 100.0, 359.99991057462415, 0, 0, 0, 0, 0, 0, 0
0, (0.214,0), 359.9999, 100.0, 359.99989855580355, 0, 0, 0, 0, 0, 0, 0
0, (0.214,0), 359.9999, 100.0, 359.9998800019891, 0, 0, 0, 0, 0, 0, 0
1.08, (0.214,0), 0.3599, 100.0, 359.9998585165038, 0, 0, 0, 0, 0, 0, 0
10.08, (0.614,0.053), 9.3598, 100.0, 9.359841819169189, 9.6, 9.6, 0.0326, 0.1831, 9.1564, 1.6277, 1.6277
20.22, (1.554,0.316), 19.4998, 100.0, 18.77982679232366, 18.36, 18.36, 0.1145, 0.3233, 16.1663, 5.7248, 5.7248
10.02, (3.251,0.773), 9.2998, 100.0, 10.139814302295521, 11.94, 11.94, 0.0942, 0.491, 24.5523, 4.7102, 4.7102
360.12, (5.241,0.941), 359.5202, 100.0, 359.88019746765923, 1.26, 1.26, 0.0021, 0.5, 24.9998, 0.1047, 0.1047
349.92, (7.032,0.789), 349.3202, 100.0, 350.34018244057035, -8.04, -8.04, -0.0787, 0.4938, 24.6881, -3.9367, -3.9367
339.78, (8.961,0.273), 339.1802, 100.0, 339.4801589971724, -18.78, -18.78, -0.1704, 0.4701, 23.5042, -8.5177, -8.5177
329.7, (10.763,-0.59), 329.1001, 100.0, 329.1001347641728, -29.22, -29.22, -0.2523, 0.4317, 21.5849, -12.6132, -12.6132
319.5, (12.226,-1.635), 318.9001, 100.0, 319.62011793653335, -38.7, -38.7, -0.3199, 0.3843, 19.2127, -15.996, -15.996
