Rotation, Location, Gyro Rotation, Sensor Optical Flow, Battery Level, Yaw, Pitch, Roll, Vy, Vx, AccX, AccY
0, (0.14,0), 360, 100.0, 359.9999965237318, 0, 0, 0, 0.034, 1.7, 0, 0
0, (0.144,0), 360, 100.0, 359.9999855911974, 0, 0, 0, 0, 0, 0, 0
0, (0.144,0), 360, 100.0, 359.9999644672885, 0, 0, 0, 0, 0, 0, 0
0, (0.144,0), 360, 100.0, 359.9999599177232, 0, 0, 0, 0, 0, 0, 0
0, (0.144,0), 359.9999, 100.0, 359.99994461987035, 0, 0, 0, 0, 0, 0, 0
0, (0.144,0), 359.9999, 100.0, 359.99992962920555, 0, 0, 0, 0, 0, 0, 0
0, (0.144,0), 359.9999, 100.0, 359.9999100971604, 0, 0, 0, 0, 0, 0, 0
0, (0.144,0), 359.9999, 100.0, 359.9998941598472, 0, 0, 0, 0, 0, 0, 0
0, (0.144,0), 359.9999, 100.0, 359.9998780780996, 0, 0, 0, 0, 0, 0, 0
0, (0.144,0), 359.9999, 100.0, 359.99986598562515, 0, 0, 0, 0, 0, 0, 0
0, (0.144,0), 359.9998, 100.0, 359.9998471234232, 0, 0, 0, 0, 0, 0, 0
0, (0.144,0), 359.9998, 100.0, 359.99982751132234, 0, 0, 0, 0, 0, 0, 0
0, (0.144,0), 359.9998, 100.0, 359.99981481698575, 0, 0, 0, 0, 0, 0, 0
0, (0.144,0), 359.9998, 100.0, 359.99979806107, 0, 0, 0, 0, 0, 0, 0
0, (0.144,0), 359.9998, 100.0, 359.9997825275659, 0, 0, 0, 0, 0, 0, 0
0, (0.144,0), 359.9998, 100.0, 359.999772219305, 0, 0, 0, 0, 0, 0, 0
0, (0.144,0), 359.9998, 100.0, 359.99975702047107, 0, 0, 0, 0, 0, 0, 0
0, (0.144,0), 359.9997, 100.0, 359.99974584278254, 0, 0, 0, 0, 0, 0, 0
0, (0.144,0), 359.9997, 100.0, 359.999728888557, 0, 0, 0, 0, 0, 0, 0
0, (0.144,0), 359.9997, 100.0, 359.9997100102814, 0, 0, 0, 0, 0, 0, 0
0, (0.144,0), 359.9997, 100.0, 359.99969313370667, 0, 0, 0, 0, 0, 0, 0
0, (0.144,0), 359.9997, 100.0, 359.9996766185399, 0, 0, 0, 0, 0, 0, 0
9.24, (0.394,0.026), 8.5197, 100.0, 7.7396581554822355, 7.32, 7.32, 0.0207, 0.1395, 6.9733, 1.0372, 1.0372
2.1, (1.352,0.135), 1.3796, 100.0, 1.859641317096771, 3.36, 3.36, 0.0144, 0.3187, 15.9338, 0.718, 0.718
7.08, (2.834,0.207), 6.3603, 100.0, 5.700343803393799, 5.22, 5.22, 0.0545, 0.4839, 24.1973, 2.7227, 2.7227
2.76, (4.817,0.457), 2.0403, 100.0, 2.760333174701291, 4.56, 4.56, 0.0304, 0.4991, 24.9539, 1.5175, 1.5175
353.46, (6.813,0.387), 352.7397, 100.0, 352.7396579957879, -5.52, -5.52, -0.0569, 0.4967, 24.8373, -2.8474, -2.8474
355.92, (8.595,0.135), 355.1996, 100.0, 354.17964806930564, -6.12, -6.12, -0.0444, 0.498, 24.901, -2.2224, -2.2224
353.16, (10.591,0.034), 352.4396, 100.0, 353.45962884383675, -4.68, -4.68, -0.0507, 0.4974, 24.8711, -2.5351, -2.5351
342.9, (12.546,-0.373), 342.1796, 100.0, 342.8396119061874, -15.36, -15.36, -0.1415, 0.4796, 23.9779, -7.0753, -7.0753
342.42, (14.242,-0.977), 341.6996, 100.0, 341.0395961383815, -19.2, -19.2, -0.1565, 0.4749, 23.7438, -7.825, -7.825
332.34, (16.087,-1.741), 331.6196, 100.0, 331.9795792466412, -26.34, -26.34, -0.2293, 0.4443, 22.2154, -11.4662, -11.4662
322.62, (17.781,-2.797), 321.8996, 100.0, 322.61955812435383, -35.88, -35.88, -0.2985, 0.4011, 20.0548, -14.9266, -14.9266
312.9, (19.264,-4.136), 312.1795, 100.0, 312.17954863510283, -45.72, -45.72, -0.3663, 0.3404, 17.018, -18.3136, -18.3136
302.58, (20.363,-5.558), 301.8595, 100.0, 302.5795323359906, -55.56, -55.56, -0.4179, 0.2745, 13.7256, -20.8952, -20.8952
297.3, (21.306,-7.32), 296.5795, 100.0, 296.21951042829767, -64.14, -64.14, -0.4457, 0.2265, 11.3264, -22.287, -22.287
303.3, (22.371,-9.011), 302.5795, 100.0, 302.5794928068365, -55.62, -55.62, -0.4179, 0.2745, 13.7256, -20.8952, -20.8952
295.92, (23.215,-10.599), 295.1995, 100.0, 294.4194809831293, -65.22, -65.22, -0.4526, 0.2124, 10.6208, -22.6318, -22.6318
304.92, (24.244,-12.311), 304.1995, 100.0, 304.19946086183916, -55.14, -55.14, -0.41, 0.2862, 14.3108, -20.4988, -20.4988
315.18, (25.542,-13.83), 314.4594, 100.0, 314.45944888528396, -45.9, -45.9, -0.3524, 0.3547, 17.7331, -17.622, -17.622
325.68, (26.931,-14.971), 324.9594, 100.0, 324.2394403557021, -36.18, -36.18, -0.2871, 0.4094, 20.4688, -14.3537, -14.3537
335.64, (28.67,-15.954), 334.9194, 100.0, 334.4994223804266, -25.92, -25.92, -0.2096, 0.454, 22.6981, -10.4784, -10.4784
346.08, (30.56,-16.597), 345.3594, 100.0, 345.05940488631995, -15.06, -15.06, -0.1228, 0.4847, 24.234, -6.1411, -6.1411
356.04, (32.336,-16.878), 355.3194, 100.0, 354.65939303842475, -5.82, -5.82, -0.0403, 0.4984, 24.9188, -2.0137, -2.0137
6.36, (34.333,-16.843), 5.6394, 100.0, 4.919379408515995, 4.62, 4.62, 0.0491, 0.4976, 24.879, 2.4569, 2.4569
16.5, (36.29,-16.445), 15.7794, 100.0, 15.419362587888141, 15.12, 15.12, 0.139, 0.4803, 24.0146, 6.9496, 6.9496
26.82, (37.963,-15.787), 26.0993, 100.0, 24.959347387731373, 24.66, 24.66, 0.2167, 0.4506, 22.5307, 10.8336, 10.8336
35.94, (39.667,-14.744), 35.2193, 100.0, 34.79932819073112, 34.32, 34.32, 0.2905, 0.407, 20.3478, 14.5247, 14.5247
43.14, (41.182,-13.441), 42.4193, 100.0, 42.41930756828555, 44.34, 44.34, 0.3419, 0.3648, 18.2421, 17.0946, 17.0946
33.18, (42.602,-12.339), 32.4593, 100.0, 33.11929203110922, 34.2, 34.2, 0.2784, 0.4153, 20.7649, 13.9219, 13.9219
23.22, (44.368,-11.405), 22.4993, 100.0, 22.49927099312174, 23.94, 23.94, 0.1971, 0.4595, 22.9749, 9.8566, 9.8566
13.08, (46.076,-10.845), 12.3593, 100.0, 13.13925239438243, 14.94, 14.94, 0.1198, 0.4854, 24.2721, 5.9888, 5.9888
13.62, (48.036,-10.449), 12.8992, 100.0, 13.259237894377385, 12.96, 12.96, 0.1208, 0.4852, 24.2595, 6.0396, 6.0396
3.66, (50.013,-10.167), 2.9392, 100.0, 2.939220110599277, 4.32, 4.32, 0.0319, 0.499, 24.949, 1.5959, 1.5959
354.18, (51.811,-10.197), 353.2208, 100.0, 353.88077977086357, -4.08, -4.08, -0.045, 0.498, 24.8987, -2.2484, -2.2484
344.22, (53.774,-10.566), 343.2608, 100.0, 343.6207610532917, -14.28, -14.28, -0.1329, 0.482, 24.1001, -6.6473, -6.6473
334.44, (55.458,-11.195), 333.4808, 100.0, 334.5607502598422, -23.76, -23.76, -0.2072, 0.4551, 22.7526, -10.3594, -10.3594
324.42, (57.181,-12.206), 323.4607, 100.0, 324.18073511154205, -34.14, -34.14, -0.2858, 0.4103, 20.5138, -14.2893, -14.2893
330.9, (58.836,-13.326), 329.9407, 100.0, 329.28071932108674, -30.84, -30.84, -0.2482, 0.4341, 21.7028, -12.4092, -12.4092
324.72, (60.389,-14.233), 323.7607, 100.0, 324.9007042999626, -33, -33, -0.2806, 0.4138, 20.6917, -14.0304, -14.0304
326.4, (61.991,-15.43), 325.4407, 100.0, 325.0806909381679, -35.34, -35.34, -0.2793, 0.4147, 20.7357, -13.9653, -13.9653
335.34, (63.739,-16.397), 334.3807, 100.0, 334.3806696157362, -25.74, -25.74, -0.2086, 0.4544, 22.72, -10.4308, -10.4308
344.4, (65.43,-17.008), 343.4407, 100.0, 342.6606556506378, -17.22, -17.22, -0.141, 0.4797, 23.9853, -7.0502, -7.0502
347.04, (67.386,-17.42), 346.0806, 100.0, 346.80064267619275, -11.22, -11.22, -0.106, 0.4886, 24.4317, -5.3002, -5.3002
342.6, (69.295,-18.013), 341.6406, 100.0, 340.98062436732135, -19.14, -19.14, -0.155, 0.4754, 23.7683, -7.7503, -7.7503
347.22, (71.243,-18.462), 346.2606, 100.0, 346.7406062745657, -11.16, -11.16, -0.1065, 0.4885, 24.4261, -5.3258, -5.3258
340.8, (72.958,-19.003), 339.8406, 100.0, 338.76059278758737, -20.58, -20.58, -0.1733, 0.469, 23.4502, -8.6652, -8.6652
349.74, (74.891,-19.505), 348.7806, 100.0, 348.12057450523844, -10.86, -10.86, -0.0947, 0.4909, 24.5473, -4.736, -4.736
358.98, (76.881,-19.68), 358.0206, 100.0, 357.66055503741103, -1.38, -1.38, -0.012, 0.4999, 24.9927, -0.6021, -0.6021
7.38, (79.07,-19.493), 6.4205, 100.0, 6.84053825597931, 8.88, 8.88, 0.0679, 0.4954, 24.7687, 3.3929, 3.3929
8.64, (80.862,-19.326), 7.6805, 100.0, 6.8405247870891195, 6.66, 6.66, 0.0679, 0.4954, 24.7687, 3.3929, 3.3929
17.76, (82.807,-18.872), 16.8005, 100.0, 16.3805047819645, 16.26, 16.26, 0.149, 0.4773, 23.8638, 7.451, 7.451
18.66, (84.49,-18.235), 17.7005, 100.0, 18.420495089955807, 20.46, 20.46, 0.1659, 0.4717, 23.5835, 8.2958, 8.2958
