Rotation, Location, Gyro Rotation, Sensor Optical Flow, Battery Level, Yaw, Pitch, Roll, Vy, Vx, AccX, AccY
0, (0.189,0), 0, 100.0, 6.316992084975936E-8, 0, 0, 0, 0.043, 2.15, 0, 0
0, (0.198,0), 360, 100.0, 359.9999898878245, 0, 0, 0, 0, 0, 0, 0
0, (0.198,0), 360, 100.0, 359.9999758432391, 0, 0, 0, 0, 0, 0, 0
0, (0.198,0), 360, 100.0, 359.9999594833899, 0, 0, 0, 0, 0, 0, 0
0, (0.198,0), 359.9999, 100.0, 359.999945486865, 0, 0, 0, 0, 0, 0, 0
0, (0.198,0), 359.9999, 100.0, 359.9999333973677, 0, 0, 0, 0, 0, 0, 0
0, (0.198,0), 359.9999, 100.0, 359.99992002404593, 0, 0, 0, 0, 0, 0, 0
0, (0.198,0), 359.9999, 100.0, 359.9999102283271, 0, 0, 0, 0, 0, 0, 0
0, (0.198,0), 359.9999, 100.0, 359.9998963695437, 0, 0, 0, 0, 0, 0, 0
7.68, (0.423,0.021), 7.6799, 100.0, 7.6798805992685315, 6.72, 6.72, 0.0179, 0.1328, 6.6399, 0.8954, 0.8954
3.18, (1.223,0.123), 3.1799, 100.0, 3.8998609945317644, 4.92, 4.92, 0.0203, 0.2973, 14.8655, 1.0134, 1.0134
6.12, (2.803,0.2), 6.1201, 100.0, 6.120131482307863, 4.98, 4.98, 0.0507, 0.4733, 23.6644, 2.5373, 2.5373
4.5, (4.583,0.446), 4.5001, 100.0, 4.920110520192731, 6, 6, 0.0429, 0.4982, 24.9079, 2.1441, 2.1441
359.82, (6.583,0.473), 359.8199, 100.0, 359.8198878384492, -0.18, -0.18, -0.0016, 0.5, 24.9999, -0.0785, -0.0785
5.94, (8.381,0.525), 5.9399, 100.0, 5.159876462544301, 4.2, 4.2, 0.045, 0.498, 24.8987, 2.2484, 2.2484
4.92, (10.362,0.795), 4.9199, 100.0, 5.279854127313197, 6.3, 6.3, 0.046, 0.4979, 24.8939, 2.3006, 2.3006
356.64, (12.16,0.815), 357.8398, 100.0, 358.49984282182703, -1.68, -1.68, -0.0236, 0.4994, 24.9722, -1.1777, -1.1777
348.84, (14.138,0.53), 350.0398, 100.0, 350.03982024457446, -11.16, -11.16, -0.0968, 0.4905, 24.5273, -4.8387, -4.8387
350.28, (16.101,0.146), 351.4798, 100.0, 351.0598065669536, -11.16, -11.16, -0.088, 0.4922, 24.6095, -4.4013, -4.4013
359.04, (17.893,-0.002), 0.2398, 100.0, 0.23979099721563474, -1.38, -1.38, -0.0084, 0.4999, 24.9965, -0.4189, -0.4189
359.04, (19.892,-0.036), 0.2398, 100.0, 0.23978033356063186, -0.96, -0.96, -0.0084, 0.4999, 24.9965, -0.4189, -0.4189
350.58, (21.685,-0.178), 352.0202, 100.0, 352.740214100731, -7.56, -7.56, -0.0756, 0.4942, 24.7123, -3.7815, -3.7815
341.22, (23.624,-0.658), 342.6602, 100.0, 342.96020309049374, -17.4, -17.4, -0.1585, 0.4742, 23.7109, -7.9243, -7.9243
331.74, (25.275,-1.371), 333.1802, 100.0, 334.2001934384232, -26.22, -26.22, -0.2289, 0.4445, 22.2274, -11.443, -11.443
328.26, (26.989,-2.4), 329.7002, 100.0, 329.700183385132, -31.74, -31.74, -0.263, 0.4252, 21.2611, -13.1516, -13.1516
328.26, (28.69,-3.452), 329.7002, 100.0, 329.7001692983731, -31.74, -31.74, -0.263, 0.4252, 21.2611, -13.1516, -13.1516
337.02, (30.277,-4.298), 338.4602, 100.0, 337.38015322086625, -25.2, -25.2, -0.2038, 0.4566, 22.828, -10.1923, -10.1923
330.84, (32.097,-5.122), 332.2801, 100.0, 333.00012946264616, -27.36, -27.36, -0.2381, 0.4397, 21.9829, -11.906, -11.906
321.78, (33.6,-6.11), 323.2201, 100.0, 324.3001124871595, -36.06, -36.06, -0.3019, 0.3986, 19.9291, -15.0941, -15.0941
317.88, (35.103,-7.43), 319.3201, 100.0, 319.3201010766423, -42.12, -42.12, -0.3353, 0.3709, 18.5435, -16.7671, -16.7671
321.6, (36.603,-8.752), 323.0401, 100.0, 322.62008608640315, -39.9, -39.9, -0.3134, 0.3896, 19.478, -15.6719, -15.6719
325.74, (38.089,-9.766), 327.1801, 100.0, 327.900074935864, -32.4, -32.4, -0.2763, 0.4168, 20.8375, -13.813, -13.813
317.94, (39.641,-11.024), 319.3801, 100.0, 319.3800542851218, -42.06, -42.06, -0.335, 0.3712, 18.5611, -16.7477, -16.7477
327.18, (41.221,-12.245), 328.62, 100.0, 328.620039928892, -34.14, -34.14, -0.271, 0.4202, 21.0094, -13.55, -13.55
324.72, (42.738,-13.214), 326.16, 100.0, 326.94002224036996, -33.78, -33.78, -0.2832, 0.4121, 20.6032, -14.1602, -14.1602
319.86, (44.277,-14.489), 321.3, 100.0, 320.9400080829228, -41.58, -41.58, -0.3247, 0.3802, 19.0101, -16.2362, -16.2362
327.96, (45.746,-15.527), 329.4, 100.0, 329.39999396804495, -32.04, -32.04, -0.2653, 0.4238, 21.1919, -13.2628, -13.2628
320.52, (47.389,-16.663), 321.96, 100.0, 322.6199762058318, -37.8, -37.8, -0.3134, 0.3896, 19.478, -15.6719, -15.6719
324.24, (48.927,-17.94), 325.68, 100.0, 325.31996009900945, -36.9, -36.9, -0.2947, 0.4039, 20.1946, -14.737, -14.737
333.78, (50.465,-18.872), 335.2199, 100.0, 334.19994228648136, -28.02, -28.02, -0.2289, 0.4445, 22.2274, -11.443, -11.443
343.14, (52.319,-19.618), 344.5799, 100.0, 343.85992978989333, -18.66, -18.66, -0.151, 0.4766, 23.8324, -7.5509, -7.5509
347.88, (54.264,-20.078), 349.3199, 100.0, 349.3199142327338, -12.12, -12.12, -0.105, 0.4889, 24.4428, -5.249, -5.249
347.88, (56.22,-20.498), 349.3199, 100.0, 349.31989219105833, -12.12, -12.12, -0.105, 0.4889, 24.4428, -5.249, -5.249
352.32, (57.985,-20.848), 353.7599, 100.0, 353.0398783371519, -9.6, -9.6, -0.073, 0.4946, 24.7318, -3.6521, -3.6521
1.68, (59.98,-20.952), 3.1199, 100.0, 2.69986243537259, 0.18, 0.18, 0.011, 0.4999, 24.994, 0.5497, 0.5497
8.34, (61.768,-20.761), 9.7798, 100.0, 9.779846756458998, 8.34, 8.34, 0.0725, 0.4947, 24.7356, 3.6262, 3.6262
4.08, (63.751,-20.502), 5.5198, 100.0, 5.879829184893293, 5.16, 5.16, 0.0387, 0.4985, 24.925, 1.9354, 1.9354
1.86, (65.75,-20.464), 1.7402, 100.0, 1.7401689560491609, 0.84, 0.84, 0.0162, 0.4997, 24.9868, 0.8114, 0.8114
10.5, (67.536,-20.248), 10.3802, 100.0, 10.38015840280739, 10.14, 10.14, 0.0911, 0.4916, 24.5814, 4.5559, 4.5559
19.44, (69.473,-19.761), 19.3201, 100.0, 18.660141298750705, 17.7, 17.7, 0.161, 0.4734, 23.669, 8.0484, 8.0484
20.52, (71.347,-19.062), 20.4001, 100.0, 20.400124512309898, 20.52, 20.52, 0.1753, 0.4683, 23.4137, 8.7634, 8.7634
20.52, (73.22,-18.361), 20.4001, 100.0, 20.400108892213964, 20.52, 20.52, 0.1753, 0.4683, 23.4137, 8.7634, 8.7634
20.52, (74.906,-17.73), 20.4001, 100.0, 20.400097192600633, 20.52, 20.52, 0.1753, 0.4683, 23.4137, 8.7634, 8.7634
20.52, (76.779,-17.029), 20.4001, 100.0, 20.40008026479092, 20.52, 20.52, 0.1753, 0.4683, 23.4137, 8.7634, 8.7634
20.52, (78.652,-16.328), 20.4001, 100.0, 20.400068097838425, 20.52, 20.52, 0.1753, 0.4683, 23.4137, 8.7634, 8.7634
20.52, (80.338,-15.697), 20.4001, 100.0, 20.400052468416554, 20.52, 20.52, 0.1753, 0.4683, 23.4137, 8.7634, 8.7634
15.84, (82.224,-15.034), 15.72, 100.0, 15.720036810895065, 17.16, 17.16, 0.1365, 0.481, 24.0507, 6.8238, 6.8238
10.2, (84.182,-14.632), 10.08, 100.0, 10.080019452276892, 10.2, 10.2, 0.0885, 0.4921, 24.6049, 4.4271, 4.4271
10.2, (85.953,-14.313), 10.08, 100.0, 10.080001077225077, 10.2, 10.2, 0.0885, 0.4921, 24.6049, 4.4271, 4.4271
10.2, (87.922,-13.959), 10.08, 100.0, 10.079984513575104, 10.2, 10.2, 0.0885, 0.4921, 24.6049, 4.4271, 4.4271
10.2, (89.89,-13.605), 10.08, 100.0, 10.079971281150248, 10.2, 10.2, 0.0885, 0.4921, 24.6049, 4.4271, 4.4271
10.2, (91.859,-13.251), 10.08, 100.0, 10.079958317488494, 10.2, 10.2, 0.0885, 0.4921, 24.6049, 4.4271, 4.4271
18.36, (93.798,-12.773), 18.2399, 100.0, 18.239944133696817, 17.22, 17.22, 0.1575, 0.4745, 23.7274, 7.8747, 7.8747
24.36, (95.479,-12.131), 24.2399, 100.0, 23.519931504974828, 22.56, 22.56, 0.2005, 0.458, 22.9021, 10.0247, 10.0247
29.88, (97.234,-11.174), 29.7599, 100.0, 30.179921469115484, 30.3, 30.3, 0.2523, 0.4317, 21.5849, 12.6132, 12.6132
20.22, (98.865,-10.416), 20.0999, 100.0, 20.519910418536725, 21.66, 21.66, 0.1762, 0.4679, 23.3953, 8.8124, 8.8124
30.12, (100.678,-9.58), 29.9999, 100.0, 29.219888443863848, 28.68, 28.68, 0.245, 0.4359, 21.7932, 12.2498, 12.2498
30.06, (102.402,-8.566), 29.9399, 100.0, 30.359877955445707, 30.48, 30.48, 0.2536, 0.4309, 21.5452, 12.6809, 12.6809
20.34, (104.217,-7.732), 20.2199, 100.0, 20.219862489875613, 21.06, 21.06, 0.1738, 0.4688, 23.4412, 8.6898, 8.6898
19.26, (105.905,-7.106), 19.1398, 100.0, 20.219846844359896, 20.34, 20.34, 0.1738, 0.4688, 23.4412, 8.6898, 8.6898
10.2, (107.839,-6.609), 10.0798, 100.0, 10.079825714199414, 10.56, 10.56, 0.0885, 0.4921, 24.6049, 4.4271, 4.4271
15.84, (109.796,-6.202), 15.7198, 100.0, 15.299807176957593, 14.34, 14.34, 0.1329, 0.482, 24.1001, 6.6473, 6.6473
20.46, (111.682,-5.538), 20.3398, 100.0, 20.339792968519195, 20.46, 20.46, 0.1748, 0.4685, 23.4229, 8.7388, 8.7388
20.46, (113.368,-4.908), 20.3398, 100.0, 20.339770996192954, 20.46, 20.46, 0.1748, 0.4685, 23.4229, 8.7388, 8.7388
13.8, (115.264,-4.274), 13.6798, 100.0, 14.399753250986, 15.72, 15.72, 0.1254, 0.484, 24.2015, 6.2679, 6.2679
10.26, (117.227,-3.895), 10.1397, 100.0, 10.139736761308177, 10.26, 10.26, 0.0891, 0.492, 24.6002, 4.4529, 4.4529
10.26, (118.998,-3.574), 10.1397, 100.0, 10.139726322950587, 10.26, 10.26, 0.0891, 0.492, 24.6002, 4.4529, 4.4529
14.64, (120.96,-3.189), 14.5197, 100.0, 13.799705298447073, 12.84, 12.84, 0.1203, 0.4853, 24.2658, 6.0142, 6.0142
21.3, (122.852,-2.545), 21.1797, 100.0, 20.819688746256492, 20.58, 20.58, 0.1787, 0.467, 23.3489, 8.9348, 8.9348
30.78, (124.467,-1.755), 30.6597, 100.0, 29.9396786312839, 28.98, 28.98, 0.2505, 0.4328, 21.6375, 12.5227, 12.5227
21.18, (126.26,-0.874), 21.0597, 100.0, 21.0596612508973, 22.5, 22.5, 0.1806, 0.4662, 23.3112, 9.0325, 9.0325
28.08, (127.911,-0.162), 27.9597, 100.0, 27.23965328849143, 26.22, 26.22, 0.2298, 0.4441, 22.2034, 11.4895, 11.4895
23.58, (129.676,0.777), 23.4596, 100.0, 24.239641380461514, 25.5, 25.5, 0.2062, 0.4555, 22.7743, 10.3117, 10.3117
14.1, (131.565,1.426), 13.9796, 100.0, 14.279625371224938, 15.48, 15.48, 0.1243, 0.4843, 24.2146, 6.2172, 6.2172
8.88, (133.333,1.765), 8.7596, 100.0, 9.479607234806878, 10.32, 10.32, 0.0834, 0.493, 24.6499, 4.1692, 4.1692
360, (135.326,1.903), 359.4004, 100.0, 359.7604019255848, 0.3, 0.3, 0.0031, 0.5, 24.9995, 0.1571, 0.1571
350.76, (137.315,1.725), 350.1604, 100.0, 350.16038608239444, -8.58, -8.58, -0.0803, 0.4935, 24.6756, -4.0143, -4.0143
350.76, (139.289,1.404), 350.1604, 100.0, 350.16036792243625, -9.24, -9.24, -0.0803, 0.4935, 24.6756, -4.0143, -4.0143
344.04, (141.053,1.052), 343.4403, 100.0, 344.4603473353623, -13.86, -13.86, -0.1289, 0.4831, 24.1549, -6.4452, -6.4452
336.06, (142.937,0.384), 335.4603, 100.0, 336.12033406692296, -22.14, -22.14, -0.1976, 0.4593, 22.9646, -9.8806, -9.8806
330.42, (144.702,-0.554), 329.8203, 100.0, 329.8203175663178, -29.58, -29.58, -0.2468, 0.4348, 21.7417, -12.341, -12.341
324.96, (146.247,-1.476), 324.3603, 100.0, 325.4403035910665, -32.88, -32.88, -0.2793, 0.4147, 20.7357, -13.9653, -13.9653
324.06, (147.827,-2.701), 323.4603, 100.0, 322.8002907817478, -37.74, -37.74, -0.2981, 0.4014, 20.0704, -14.9056, -14.9056
329.88, (149.526,-3.754), 329.2803, 100.0, 329.28027000557813, -29.7, -29.7, -0.2509, 0.4325, 21.6244, -12.5453, -12.5453
320.28, (150.991,-4.797), 319.6803, 100.0, 319.6802608035516, -38.64, -38.64, -0.3195, 0.3846, 19.2294, -15.9759, -15.9759
322.02, (152.531,-6.072), 321.4202, 100.0, 320.7002421302527, -39.72, -39.72, -0.3126, 0.3902, 19.5108, -15.6311, -15.6311
329.82, (154.205,-7.163), 329.2202, 100.0, 329.5802250985278, -29.46, -29.46, -0.2486, 0.4338, 21.6898, -12.4319, -12.4319
320.28, (155.829,-8.325), 319.6802, 100.0, 319.6802040903709, -39.36, -39.36, -0.3195, 0.3846, 19.2294, -15.9759, -15.9759
320.28, (157.214,-9.475), 319.6802, 100.0, 319.6801862051596, -39.72, -39.72, -0.3195, 0.3846, 19.2294, -15.9759, -15.9759
326.82, (158.798,-10.693), 326.2202, 100.0, 325.8601719252511, -34.56, -34.56, -0.2763, 0.4168, 20.8375, -13.813, -13.813
327.48, (160.347,-11.61), 326.8802, 100.0, 327.54015258380645, -30.78, -30.78, -0.2639, 0.4247, 21.2335, -13.1961, -13.1961
322.86, (161.947,-12.807), 322.2601, 100.0, 321.54013481018313, -39, -39, -0.3069, 0.3948, 19.7378, -15.3434, -15.3434
330.42, (163.632,-13.881), 329.8201, 100.0, 329.8201267144715, -29.58, -29.58, -0.2468, 0.4348, 21.7417, -12.341, -12.341
338.16, (165.241,-14.684), 337.5601, 100.0, 336.84011093354843, -23.34, -23.34, -0.1918, 0.4617, 23.087, -9.5913, -9.5913
340.74, (167.125,-15.354), 340.1401, 100.0, 340.1400946719861, -19.26, -19.26, -0.1649, 0.472, 23.6008, -8.2464, -8.2464
336.06, (169,-16.049), 335.4601, 100.0, 335.8200790902426, -22.5, -22.5, -0.2, 0.4583, 22.9126, -10.0007, -10.0007
334.68, (170.78,-16.959), 334.0801, 100.0, 334.0800618576784, -26.46, -26.46, -0.2138, 0.452, 22.5983, -10.6918, -10.6918
340.74, (172.46,-17.603), 340.14, 100.0, 340.14004448735466, -19.26, -19.26, -0.1649, 0.472, 23.6008, -8.2464, -8.2464
340.74, (174.348,-18.262), 340.14, 100.0, 340.1400252131725, -19.26, -19.26, -0.1649, 0.472, 23.6008, -8.2464, -8.2464
340.74, (176.236,-18.922), 340.14, 100.0, 340.1400093106221, -19.26, -19.26, -0.1649, 0.472, 23.6008, -8.2464, -8.2464
