Rotation, Location, Gyro Rotation, Sensor Optical Flow, Battery Level, Yaw, Pitch, Roll, Vy, Vx, AccX, AccY
0, (0.201,0), 0, 100.0, 4.892546030532685E-7, 0, 0, 0, 0.051, 2.55, 0, 0
0, (0.214,0), 360, 100.0, 359.99999398882727, 0, 0, 0, 0, 0, 0, 0
0, (0.214,0), 360, 100.0, 359.99998421814763, 0, 0, 0, 0, 0, 0, 0
0, (0.214,0), 360, 100.0, 359.9999701444773, 0, 0, 0, 0, 0, 0, 0
0, (0.214,0), 360, 100.0, 359.99995132978574, 0, 0, 0, 0, 0, 0, 0
0, (0.214,0), 359.9999, 100.0, 359.99992978167285, 0, 0, 0, 0, 0, 0, 0
0, (0.214,0), 359.9999, 100.0, 359.9999186799921, 0, 0, 0, 0, 0, 0, 0
0, (0.214,0), 359.9999, 100.0, 359.9999089689644, 0, 0, 0, 0, 0, 0, 0
0, (0.214,0), 359.9999, 100.0, 359.99988939140894, 0, 0, 0, 0, 0, 0, 0
0, (0.214,0), 359.9999, 100.0, 359.9998725612078, 0, 0, 0, 0, 0, 0, 0
0, (0.214,0), 359.9999, 100.0, 359.9998575566753, 0, 0, 0, 0, 0, 0, 0
0, (0.214,0), 359.9998, 100.0, 359.99984234084803, 0, 0, 0, 0, 0, 0, 0
0, (0.214,0), 359.9998, 100.0, 359.99982363246573, 0, 0, 0, 0, 0, 0, 0
7.92, (0.382,0.015), 7.1998, 100.0, 6.179803598459711, 5.82, 5.82, 0.0138, 0.1142, 5.7084, 0.6908, 0.6908
3, (1.222,0.118), 2.2798, 100.0, 2.999791885539045, 4.74, 4.74, 0.0188, 0.2894, 14.4694, 0.9408, 0.9408
6.84, (2.773,0.201), 6.9598, 100.0, 6.6597835093446465, 5.52, 5.52, 0.0532, 0.464, 23.1981, 2.6595, 2.6595
3.84, (4.549,0.443), 3.9598, 100.0, 4.619768463874454, 5.64, 5.64, 0.0392, 0.4985, 24.9229, 1.9615, 1.9615
354.12, (6.546,0.408), 355.4398, 100.0, 355.8597590662899, -4.44, -4.44, -0.0476, 0.4977, 24.8866, -2.3788, -2.3788
344.4, (8.313,0.072), 345.7197, 100.0, 346.7997448786579, -13.86, -13.86, -0.1254, 0.484, 24.2015, -6.2679, -6.2679
334.2, (10.185,-0.624), 335.5197, 100.0, 336.1797230042929, -23.94, -23.94, -0.2124, 0.4526, 22.6318, -10.6208, -10.6208
341.52, (12.02,-1.414), 342.8397, 100.0, 342.4197064691419, -19.92, -19.92, -0.162, 0.473, 23.6521, -8.0979, -8.0979
341.64, (13.716,-2.015), 342.9597, 100.0, 341.69968922766697, -20.4, -20.4, -0.1679, 0.471, 23.5485, -8.3945, -8.3945
351.9, (15.657,-2.485), 353.2197, 100.0, 352.4396732350098, -9.96, -9.96, -0.0772, 0.494, 24.7003, -3.8591, -3.8591
354.96, (17.65,-2.641), 356.2797, 100.0, 356.6996583070922, -3.9, -3.9, -0.0403, 0.4984, 24.9188, -2.0137, -2.0137
345.3, (19.42,-2.955), 346.6196, 100.0, 347.3996481636005, -13.08, -13.08, -0.1203, 0.4853, 24.2658, -6.0142, -6.0142
338.46, (21.302,-3.625), 339.7796, 100.0, 339.119628645434, -23.34, -23.34, -0.1889, 0.4629, 23.1468, -9.446, -9.446
345.24, (23.215,-4.201), 346.5596, 100.0, 346.9196152524586, -13.26, -13.26, -0.1243, 0.4843, 24.2146, -6.2172, -6.2172
339.42, (25.099,-4.868), 340.7396, 100.0, 340.7396086368282, -21.6, -21.6, -0.1758, 0.4681, 23.4046, -8.7879, -8.7879
342.54, (26.825,-5.377), 343.8596, 100.0, 344.6995922204118, -15.54, -15.54, -0.143, 0.4791, 23.9556, -7.1506, -7.1506
339.3, (28.689,-6.099), 340.6196, 100.0, 339.8395763673387, -22.26, -22.26, -0.1831, 0.4653, 23.2636, -9.1544, -9.1544
349.38, (30.611,-6.64), 350.6996, 100.0, 350.3395582189883, -12.06, -12.06, -0.0952, 0.4908, 24.5423, -4.7617, -4.7617
359.04, (32.599,-6.838), 0.3595, 100.0, 0.35954241895752387, -2.16, -2.16, -0.0084, 0.4999, 24.9965, -0.4189, -0.4189
355.68, (34.398,-6.856), 356.7605, 100.0, 357.12045318164996, -2.88, -2.88, -0.0345, 0.4988, 24.9403, -1.7265, -1.7265
345.36, (36.367,-7.19), 346.4404, 100.0, 346.8004423063067, -13.26, -13.26, -0.1233, 0.4846, 24.2275, -6.1665, -6.1665
335.34, (38.06,-7.795), 336.4204, 100.0, 337.14042673722224, -22.86, -22.86, -0.2029, 0.457, 22.8493, -10.1445, -10.1445
325.92, (39.804,-8.769), 327.0004, 100.0, 327.36040826446606, -32.52, -32.52, -0.2776, 0.4159, 20.794, -13.8784, -13.8784
326.28, (41.248,-9.843), 327.3604, 100.0, 326.2803930193605, -35.94, -35.94, -0.2854, 0.4106, 20.5287, -14.2678, -14.2678
329.52, (42.979,-10.843), 330.6004, 100.0, 331.0203789315358, -28.92, -28.92, -0.2505, 0.4328, 21.6375, -12.5227, -12.5227
320.34, (44.449,-11.878), 321.4204, 100.0, 322.2003631006616, -37.8, -37.8, -0.3138, 0.3892, 19.4616, -15.6923, -15.6923
325.5, (46,-13.139), 326.5803, 100.0, 325.8003412304756, -36.36, -36.36, -0.2888, 0.4082, 20.4085, -14.4393, -14.4393
320.28, (47.632,-14.292), 321.3603, 100.0, 322.0803286559995, -38.34, -38.34, -0.3147, 0.3886, 19.4286, -15.733, -15.733
323.58, (49.156,-15.586), 324.6603, 100.0, 324.3003090502053, -37.92, -37.92, -0.2994, 0.4005, 20.0235, -14.9686, -14.9686
320.76, (50.623,-16.628), 321.8403, 100.0, 322.9202905523114, -37.02, -37.02, -0.3089, 0.3931, 19.6572, -15.4465, -15.4465
321.54, (52.124,-17.948), 322.6203, 100.0, 322.3202715040409, -40.2, -40.2, -0.313, 0.3899, 19.4944, -15.6515, -15.6515
330.48, (53.613,-18.958), 331.5603, 100.0, 330.4802639566093, -31.44, -31.44, -0.2545, 0.4304, 21.5186, -12.726, -12.726
339.6, (55.42,-19.809), 340.6802, 100.0, 339.9602466642655, -22.2, -22.2, -0.1802, 0.4664, 23.3207, -9.0081, -9.0081
346.38, (57.34,-20.367), 347.4602, 100.0, 347.4602298071011, -14.58, -14.58, -0.1177, 0.4859, 24.297, -5.887, -5.887
353.22, (59.118,-20.635), 354.3002, 100.0, 355.02021344064866, -5.28, -5.28, -0.0528, 0.4972, 24.8603, -2.6392, -2.6392
355.26, (61.098,-20.913), 356.3402, 100.0, 355.98019280112146, -6.18, -6.18, -0.0444, 0.498, 24.901, -2.2224, -2.2224
353.34, (62.894,-21.009), 354.5398, 100.0, 355.5598071584625, -4.86, -4.86, -0.0491, 0.4976, 24.879, -2.4569, -2.4569
3.42, (64.89,-21.079), 4.6198, 100.0, 3.8997896752728414, 1.62, 1.62, 0.0236, 0.4994, 24.9722, 1.1777, 1.1777
12.6, (66.871,-20.82), 13.7998, 100.0, 13.43976709845497, 11.04, 11.04, 0.106, 0.4886, 24.4317, 5.3002, 5.3002
14.4, (68.633,-20.455), 15.5998, 100.0, 14.579752296239674, 12.72, 12.72, 0.1157, 0.4864, 24.3214, 5.7852, 5.7852
24.48, (70.518,-19.794), 25.6797, 100.0, 25.37973415564114, 23.1, 23.1, 0.2048, 0.4561, 22.8066, 10.2401, 10.2401
20.82, (72.331,-18.953), 22.0197, 100.0, 22.37971947785968, 22.32, 22.32, 0.1806, 0.4662, 23.3112, 9.0325, 9.0325
16.56, (74.225,-18.311), 17.7597, 100.0, 17.759696213491505, 17.64, 17.64, 0.1425, 0.4793, 23.963, 7.1255, 7.1255
18.06, (75.965,-17.855), 19.2597, 100.0, 18.539685718603284, 16.2, 16.2, 0.149, 0.4773, 23.8638, 7.451, 7.451
17.1, (77.844,-17.172), 18.2997, 100.0, 18.659670074502372, 18.6, 18.6, 0.15, 0.477, 23.8482, 7.501, 7.501
7.14, (79.8,-16.764), 8.3397, 100.0, 8.339659182665892, 8.4, 8.4, 0.0621, 0.4961, 24.8061, 3.1074, 3.1074
1.74, (81.797,-16.682), 2.8196, 100.0, 2.8196407037917237, 0.72, 0.72, 0.0152, 0.4998, 24.9885, 0.7591, 0.7591
10.44, (83.584,-16.479), 11.5196, 100.0, 10.439630100274233, 9, 9, 0.0813, 0.4933, 24.6671, 4.0659, 4.0659
1.98, (85.566,-16.233), 3.0596, 100.0, 3.8396175078417305, 3.54, 3.54, 0.0241, 0.4994, 24.971, 1.2038, 1.2038
355.62, (87.563,-16.301), 356.7004, 100.0, 356.04037801106483, -5.28, -5.28, -0.0439, 0.4981, 24.9033, -2.1963, -2.1963
4.56, (89.561,-16.281), 5.6404, 100.0, 5.280360433603392, 4.14, 4.14, 0.0366, 0.4987, 24.9329, 1.831, 1.831
14.4, (91.529,-15.94), 15.4803, 100.0, 15.480343098841573, 12.96, 12.96, 0.1243, 0.4843, 24.2146, 6.2172, 6.2172
23.58, (93.234,-15.369), 24.6603, 100.0, 24.000328252212675, 21.36, 21.36, 0.1947, 0.4605, 23.0262, 9.7361, 9.7361
32.82, (95.006,-14.448), 33.9003, 100.0, 33.18031748189117, 31.02, 31.02, 0.2657, 0.4236, 21.178, 13.285, 13.285
25.2, (96.734,-13.445), 26.2803, 100.0, 26.64030372943585, 26.58, 26.58, 0.2157, 0.4511, 22.5533, 10.7864, 10.7864
30.48, (98.526,-12.561), 31.5603, 100.0, 31.56028719333654, 29.34, 29.34, 0.2536, 0.4309, 21.5452, 12.6809, 12.6809
25.86, (100.078,-11.651), 26.9403, 100.0, 27.900268274447974, 27.66, 27.66, 0.2256, 0.4462, 22.3107, 11.2797, 11.2797
30.72, (101.864,-10.754), 31.8003, 100.0, 31.800250101908507, 29.58, 29.58, 0.2554, 0.4298, 21.4919, 12.7711, 12.7711
39.84, (103.493,-9.598), 40.9202, 100.0, 40.920233474093735, 38.76, 38.76, 0.3203, 0.3839, 19.1959, 16.0161, 16.0161
36.72, (104.857,-8.424), 37.8002, 100.0, 38.64021493014243, 38.64, 38.64, 0.3048, 0.3964, 19.8179, 15.2398, 15.2398
28.8, (106.55,-7.364), 29.8802, 100.0, 29.160201549631218, 28.74, 28.74, 0.2354, 0.4411, 22.0573, 11.7676, 11.7676
39.12, (108.212,-6.256), 40.2002, 100.0, 39.42018263344571, 37.26, 37.26, 0.3102, 0.3922, 19.6086, 15.5082, 15.5082
47.34, (109.643,-4.863), 48.4202, 100.0, 49.14016336726175, 48.06, 48.06, 0.3719, 0.3342, 16.7088, 18.5961, 18.5961
37.2, (111.123,-3.521), 38.2801, 100.0, 38.640148016560346, 38.52, 38.52, 0.3048, 0.3964, 19.8179, 15.2398, 15.2398
27.42, (112.64,-2.557), 28.5001, 100.0, 29.280137549504502, 29.4, 29.4, 0.2363, 0.4407, 22.0326, 11.8138, 11.8138
17.52, (114.484,-1.789), 18.6001, 100.0, 18.960118875791686, 19.08, 19.08, 0.1535, 0.4759, 23.7925, 7.6756, 7.6756
7.62, (116.435,-1.359), 8.7001, 100.0, 9.060101387810972, 8.7, 8.7, 0.0694, 0.4952, 24.7579, 3.4707, 3.4707
16.68, (118.197,-1.002), 17.7601, 100.0, 16.68008734358992, 14.88, 14.88, 0.1345, 0.4816, 24.0791, 6.723, 6.723
26.22, (120.057,-0.274), 27.3001, 100.0, 26.940070351946016, 24.84, 24.84, 0.2181, 0.4499, 22.4966, 10.9043, 10.9043
36.18, (121.595,0.657), 37.2601, 100.0, 36.54006122547017, 34.32, 34.32, 0.2901, 0.4073, 20.363, 14.5034, 14.5034
28.26, (123.263,1.757), 29.34, 100.0, 30.12004230354693, 30.18, 30.18, 0.2427, 0.4371, 21.857, 12.1355, 12.1355
19.02, (125.089,2.568), 20.1, 100.0, 20.520030980409647, 20.52, 20.52, 0.1664, 0.4715, 23.5748, 8.3205, 8.3205
9.3, (127.026,3.053), 10.38, 100.0, 10.800015986198648, 10.56, 10.56, 0.0844, 0.4928, 24.6411, 4.2208, 4.2208
359.94, (129.019,3.197), 0.42, 100.0, 0.7799953099799831, 0.72, 0.72, 0.0026, 0.5, 24.9997, 0.1309, 0.1309
8.34, (130.814,3.296), 9.42, 100.0, 8.33998683138001, 6.18, 6.18, 0.0632, 0.496, 24.7996, 3.1593, 3.1593
7.02, (132.782,3.651), 8.1, 100.0, 9.239966026367426, 8.88, 8.88, 0.071, 0.4949, 24.7469, 3.5484, 3.5484
7.62, (134.774,3.823), 8.6999, 100.0, 8.279948743744374, 6.18, 6.18, 0.0627, 0.4961, 24.8029, 3.1333, 3.1333
359.4, (136.767,3.954), 0.1199, 100.0, 0.1199322541646975, 0.18, 0.18, -0.0052, 0.5, 24.9986, -0.2618, -0.2618
352.86, (138.564,3.867), 354.6599, 100.0, 355.73992956654143, -4.92, -4.92, -0.0528, 0.4972, 24.8603, -2.6392, -2.6392
343.32, (140.52,3.463), 345.1199, 100.0, 345.479915800224, -15.24, -15.24, -0.1405, 0.4799, 23.9927, -7.025, -7.025
333.66, (142.375,2.723), 335.4599, 100.0, 335.4598964919409, -25.26, -25.26, -0.2218, 0.4481, 22.4044, -11.0924, -11.0924
323.34, (143.91,1.786), 325.1399, 100.0, 326.21988027962124, -34.74, -34.74, -0.2909, 0.4067, 20.3326, -14.546, -14.546
321.72, (145.443,0.503), 323.5199, 100.0, 322.73986316796567, -40.2, -40.2, -0.3151, 0.3882, 19.4122, -15.7533, -15.7533
331.74, (147.108,-0.6), 333.5398, 100.0, 332.87984525154224, -30, -30, -0.2418, 0.4376, 21.8824, -12.0897, -12.0897
341.4, (148.942,-1.392), 343.1998, 100.0, 342.83982668325854, -19.98, -19.98, -0.1625, 0.4729, 23.6436, -8.1227, -8.1227
337.2, (150.648,-1.962), 338.9998, 100.0, 339.77980751186993, -20.94, -20.94, -0.1875, 0.4635, 23.1763, -9.3733, -9.3733
327.9, (152.426,-2.873), 329.6998, 100.0, 330.4197938053675, -30.6, -30.6, -0.2604, 0.4269, 21.3433, -13.0178, -13.0178
317.94, (154.017,-4.08), 319.7398, 100.0, 320.09978084324484, -40.68, -40.68, -0.3326, 0.3733, 18.666, -16.6308, -16.6308
308.34, (155.373,-5.547), 310.1398, 100.0, 310.1397620834041, -50.94, -50.94, -0.3922, 0.3102, 15.5082, -19.6086, -19.6086
315.48, (156.547,-6.909), 317.2797, 100.0, 316.55974458465363, -46.26, -46.26, -0.355, 0.3521, 17.6035, -17.7516, -17.7516
308.58, (157.919,-8.361), 310.3797, 100.0, 310.739734123138, -49.98, -49.98, -0.3889, 0.3143, 15.7127, -19.4451, -19.4451
314.4, (159.192,-9.901), 315.7197, 100.0, 315.3597158958394, -47.22, -47.22, -0.3594, 0.3476, 17.379, -17.9714, -17.9714
309.42, (160.574,-11.345), 310.7397, 100.0, 311.0396931810802, -49.2, -49.2, -0.3846, 0.3195, 15.9759, -19.2294, -19.2294
311.82, (161.814,-12.913), 313.1397, 100.0, 312.77967646857445, -49.32, -49.32, -0.3747, 0.331, 16.5524, -18.7355, -18.7355
312.3, (163.059,-14.212), 313.6197, 100.0, 313.25965736326776, -47.76, -47.76, -0.3719, 0.3342, 16.7088, -18.5961, -18.5961
302.4, (164.276,-15.797), 303.7196, 100.0, 304.0796422061075, -56.16, -56.16, -0.4205, 0.2706, 13.528, -21.0236, -21.0236
312.18, (165.485,-17.386), 313.4996, 100.0, 313.07962418726527, -48.96, -48.96, -0.373, 0.333, 16.6503, -18.6485, -18.6485
322.2, (166.795,-18.618), 323.5196, 100.0, 322.19961058588973, -40.2, -40.2, -0.3155, 0.3879, 19.3957, -15.7737, -15.7737
331.74, (168.458,-19.724), 333.0596, 100.0, 332.3395899892406, -30.06, -30.06, -0.2423, 0.4374, 21.8697, -12.1126, -12.1126
341.7, (170.295,-20.509), 343.0196, 100.0, 343.0195703973183, -19.32, -19.32, -0.157, 0.4747, 23.7356, -7.8498, -7.8498
350.88, (172.045,-20.919), 352.1996, 100.0, 352.5595525859277, -10.14, -10.14, -0.0761, 0.4942, 24.7084, -3.8074, -3.8074
340.98, (173.979,-21.416), 342.2995, 100.0, 342.29953545518947, -17.94, -17.94, -0.1629, 0.4727, 23.6351, -8.1475, -8.1475
338.7, (175.872,-22.061), 340.0195, 100.0, 339.65951884077595, -21.72, -21.72, -0.1845, 0.4647, 23.2348, -9.2275, -9.2275
347.76, (177.597,-22.567), 349.0795, 100.0, 349.07949999768596, -13.44, -13.44, -0.106, 0.4886, 24.4317, -5.3002, -5.3002
356.28, (179.571,-22.871), 357.5995, 100.0, 357.2394805607802, -5.22, -5.22, -0.0356, 0.4987, 24.9366, -1.7787, -1.7787
348.78, (181.556,-23.097), 350.0995, 100.0, 350.0994646043734, -10.08, -10.08, -0.0973, 0.4904, 24.5222, -4.8644, -4.8644
358.92, (183.543,-23.298), 0.2395, 100.0, 0.2394513234727675, -2.22, -2.22, -0.0094, 0.4999, 24.9956, -0.4712, -0.4712
357.3, (185.337,-23.442), 358.8605, 100.0, 357.84053792325994, -4.92, -4.92, -0.0324, 0.4989, 24.9473, -1.622, -1.622
7.08, (187.333,-23.371), 8.6405, 100.0, 8.280524093835892, 5.7, 5.7, 0.0585, 0.4966, 24.8282, 2.9254, 2.9254
17.04, (189.286,-22.952), 18.6005, 100.0, 18.240507420974506, 15.6, 15.6, 0.1435, 0.479, 23.9481, 7.1757, 7.1757
