Rotation, Location, Gyro Rotation, Sensor Optical Flow, Battery Level, Yaw, Pitch, Roll, Vy, Vx, AccX, AccY
0, (0.119,0), 360, 100.0, 359.9999948153583, 0, 0, 0, 0.022, 1.1, 0, 0
0, (0.119,0), 360, 100.0, 359.9999837812668, 0, 0, 0, 0, 0, 0, 0
0, (0.119,0), 360, 100.0, 359.99997090208313, 0, 0, 0, 0, 0, 0, 0
0, (0.119,0), 360, 100.0, 359.9999602885727, 0, 0, 0, 0, 0, 0, 0
0, (0.119,0), 359.9999, 100.0, 359.99993964662747, 0, 0, 0, 0, 0, 0, 0
0, (0.119,0), 359.9999, 100.0, 359.9999256900421, 0, 0, 0, 0, 0, 0, 0
0, (0.119,0), 359.9999, 100.0, 359.99991304817223, 0, 0, 0, 0, 0, 0, 0
0, (0.119,0), 359.9999, 100.0, 359.99989954510795, 0, 0, 0, 0, 0, 0, 0
0, (0.119,0), 359.9999, 100.0, 359.99988339830946, 0, 0, 0, 0, 0, 0, 0
0, (0.119,0), 359.9999, 100.0, 359.99986891796993, 0, 0, 0, 0, 0, 0, 0
0, (0.119,0), 359.9999, 100.0, 359.9998536749143, 0, 0, 0, 0, 0, 0, 0
0, (0.13,0), 359.9998, 100.0, 359.9998409781489, 0, 0, 0, 0.023, 1.15, 0, 0
0, (0.624,0), 359.9998, 100.0, 359.9998216184239, 0, 0, 0, 0.207, 10.35, 0, 0
0, (1.558,0), 359.9998, 100.0, 359.9998041083636, 0, 0, 0, 0.373, 18.65, 0, 0
0, (3.396,0), 359.9998, 100.0, 359.9997908845476, 0, 0, 0, 0.5, 25, 0, 0
0, (5.196,0), 359.9998, 100.0, 359.99977415370284, 0, 0, 0, 0.5, 25, 0, 0
354.24, (6.995,-0.046), 352.9198, 100.0, 353.9397606272226, -3.72, -3.72, -0.0413, 0.4983, 24.9145, -2.0659, -2.0659
351, (8.973,-0.336), 349.6797, 100.0, 349.6797423141565, -9, -9, -0.0782, 0.4938, 24.6922, -3.9109, -3.9109
351, (10.751,-0.618), 349.6797, 100.0, 349.67972865182736, -9, -9, -0.0782, 0.4938, 24.6922, -3.9109, -3.9109
351, (12.726,-0.931), 349.6797, 100.0, 349.67971095747447, -9, -9, -0.0782, 0.4938, 24.6922, -3.9109, -3.9109
