Rotation, Location, Gyro Rotation, Sensor Optical Flow, Battery Level, Yaw, Pitch, Roll, Vy, Vx, AccX, AccY
0, (0.132,0), 360, 100.0, 360.0000011958106, 0, 0, 0, 0.027, 1.35, 0, 0
0, (0.134,0), 360, 100.0, 359.99998815188604, 0, 0, 0, 0, 0, 0, 0
0, (0.134,0), 360, 100.0, 359.99997258310384, 0, 0, 0, 0, 0, 0, 0
0, (0.134,0), 360, 100.0, 359.99996033997, 0, 0, 0, 0, 0, 0, 0
0, (0.134,0), 360, 100.0, 359.9999542152316, 0, 0, 0, 0, 0, 0, 0
0, (0.134,0), 359.9999, 100.0, 359.99993936961533, 0, 0, 0, 0, 0, 0, 0
0, (0.134,0), 359.9999, 100.0, 359.9999231875694, 0, 0, 0, 0, 0, 0, 0
0, (0.134,0), 359.9999, 100.0, 359.99990747862404, 0, 0, 0, 0, 0, 0, 0
0, (0.134,0), 359.9999, 100.0, 359.9998900893748, 0, 0, 0, 0, 0, 0, 0
0, (0.134,0), 359.9999, 100.0, 359.9998759674853, 0, 0, 0, 0, 0, 0, 0
0, (0.134,0), 359.9999, 100.0, 359.99986296209306, 0, 0, 0, 0, 0, 0, 0
0, (0.134,0), 359.9998, 100.0, 359.999848587314, 0, 0, 0, 0, 0, 0, 0
0, (0.134,0), 359.9998, 100.0, 359.9998348860649, 0, 0, 0, 0, 0, 0, 0
4.08, (0.2,0.003), 4.0798, 100.0, 4.079819526368796, 2.7, 2.7, 0.0052, 0.0728, 3.6407, 0.2597, 0.2597
13.68, (0.776,0.104), 13.6798, 100.0, 13.019801036018352, 11.94, 11.94, 0.0553, 0.2335, 11.6772, 2.7647, 2.7647
21.78, (1.894,0.476), 21.7798, 100.0, 20.399788356644926, 20.4, 20.4, 0.1391, 0.374, 18.6988, 6.954, 6.954
30, (3.603,1.338), 29.9998, 100.0, 30.659775746052286, 30.3, 30.3, 0.255, 0.4301, 21.5052, 12.7486, 12.7486
20.34, (5.417,2.175), 20.3398, 100.0, 20.339757964911474, 20.76, 20.76, 0.1738, 0.4688, 23.4412, 8.6898, 8.6898
21.54, (7.104,2.802), 21.5397, 100.0, 20.63974141466381, 20.34, 20.34, 0.1762, 0.4679, 23.3953, 8.8124, 8.8124
31.02, (8.891,3.693), 31.0197, 100.0, 30.659723395717567, 30.3, 30.3, 0.255, 0.4301, 21.5052, 12.7486, 12.7486
40.74, (10.34,4.757), 40.7397, 100.0, 40.739707360137096, 39.72, 39.72, 0.3263, 0.3788, 18.942, 16.3157, 16.3157
30.42, (11.797,5.811), 30.4197, 100.0, 31.499694466622476, 32.46, 32.46, 0.2612, 0.4263, 21.316, 13.0625, 13.0625
20.1, (13.597,6.675), 20.0997, 100.0, 20.81967967142144, 21.84, 21.84, 0.1777, 0.4674, 23.3675, 8.8858, 8.8858
9.9, (15.527,7.188), 9.8997, 100.0, 9.899665322046081, 11.34, 11.34, 0.086, 0.4926, 24.6277, 4.2982, 4.2982
359.64, (17.319,7.333), 359.6403, 100.0, 0.2996577360701576, 1.38, 1.38, 0.0026, 0.5, 24.9997, 0.1309, 0.1309
349.44, (19.307,7.14), 349.4403, 100.0, 349.4403259761935, -9.18, -9.18, -0.0916, 0.4915, 24.5766, -4.5816, -4.5816
339.12, (21.037,6.65), 339.1203, 100.0, 339.84031363109665, -19.14, -19.14, -0.1723, 0.4694, 23.4683, -8.6161, -8.6161
328.56, (22.832,5.774), 328.5603, 100.0, 328.9802989870638, -29.94, -29.94, -0.2577, 0.4285, 21.4247, -12.8834, -12.8834
318.24, (24.269,4.694), 318.2403, 100.0, 318.90028573226994, -40.08, -40.08, -0.3287, 0.3768, 18.8391, -16.4344, -16.4344
310.5, (25.509,3.392), 310.5003, 100.0, 310.5002759153195, -49.5, -49.5, -0.3802, 0.3247, 16.2362, -19.0101, -19.0101
310.5, (27.068,1.567), 310.5003, 100.0, 310.5002566709238, -49.5, -49.5, -0.3802, 0.3247, 16.2362, -19.0101, -19.0101
302.76, (28.16,0.138), 302.7602, 100.0, 303.06023788827395, -55.62, -55.62, -0.419, 0.2728, 13.6379, -20.9525, -20.9525
300.42, (29.078,-1.41), 300.4202, 100.0, 300.42022710717964, -59.58, -59.58, -0.4312, 0.2532, 12.6584, -21.5584, -21.5584
300.42, (30.091,-3.134), 300.4202, 100.0, 300.4202124256524, -59.58, -59.58, -0.4312, 0.2532, 12.6584, -21.5584, -21.5584
293.94, (31.033,-4.897), 293.9402, 100.0, 293.9401880928552, -65.04, -65.04, -0.457, 0.2029, 10.1445, -22.8493, -22.8493
290.4, (31.676,-6.577), 290.4002, 100.0, 290.4001661983083, -69.6, -69.6, -0.4686, 0.1743, 8.7143, -23.432, -23.432
297.9, (32.463,-8.414), 297.9002, 100.0, 297.6001502078569, -63.42, -63.42, -0.4431, 0.2316, 11.5824, -22.1551, -22.1551
307.5, (33.422,-9.935), 307.5001, 100.0, 306.30012965148035, -54.84, -54.84, -0.403, 0.296, 14.8003, -20.1482, -20.1482
314.52, (34.721,-11.455), 314.5201, 100.0, 313.8001123873505, -47.22, -47.22, -0.3609, 0.3461, 17.3036, -18.044, -18.044
320.58, (36.222,-12.774), 320.5801, 100.0, 320.5800953520814, -39.42, -39.42, -0.3175, 0.3863, 19.3128, -15.875, -15.875
320.58, (37.613,-13.917), 320.5801, 100.0, 320.5800738729224, -39.42, -39.42, -0.3175, 0.3863, 19.3128, -15.875, -15.875
320.58, (39.158,-15.187), 320.5801, 100.0, 320.58005849254084, -39.42, -39.42, -0.3175, 0.3863, 19.3128, -15.875, -15.875
311.34, (40.465,-16.422), 311.34, 100.0, 312.3600459713436, -46.62, -46.62, -0.3695, 0.3369, 16.8447, -18.4731, -18.4731
316.38, (41.809,-17.902), 316.38, 100.0, 316.0200270517535, -45, -45, -0.3472, 0.3598, 17.9896, -17.3602, -17.3602
